CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpent,TransactionCount,SupportCases,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus
1,62,M,Single,Low,416.5,1,1.0,2023-10-21,34,Mobile App,0
2,65,M,Married,Low,1547.4199999999998,7,1.0,2023-12-05,5,Website,1
3,18,M,Single,Low,1702.98,6,1.0,2023-11-15,3,Website,0
4,21,M,Widowed,Low,917.29,5,2.0,2023-08-25,2,Website,0
5,21,M,Divorced,Medium,2001.49,8,0.0,2023-10-27,41,Website,0
6,57,F,Divorced,Medium,1164.29,5,1.0,2023-09-17,2,Website,0
7,27,F,Married,High,86.73,1,0.0,2023-01-07,32,Mobile App,0
8,37,M,Single,Low,2046.88,7,2.0,2023-04-22,17,Online Banking,1
9,39,M,Divorced,High,1317.24,5,1.0,2023-06-27,24,Website,0
10,68,M,Married,High,1397.36,7,0.0,2023-01-13,29,Online Banking,1
11,54,M,Divorced,Medium,1733.83,5,2.0,2023-01-22,30,Online Banking,0
12,41,F,Married,Low,87.1,1,2.0,2023-12-31,43,Website,0
13,24,F,Divorced,Low,392.02,3,1.0,2023-07-05,10,Mobile App,0
14,42,M,Widowed,Medium,2843.59,9,2.0,2023-01-10,26,Online Banking,0
15,42,M,Divorced,Medium,1914.02,8,2.0,2023-06-15,44,Online Banking,0
16,30,F,Single,Medium,2019.79,9,2.0,2023-03-15,41,Online Banking,1
17,19,M,Married,Low,1625.27,7,2.0,2023-09-03,8,Online Banking,0
18,56,F,Married,High,951.3800000000001,5,1.0,2023-11-24,37,Website,1
19,57,F,Divorced,High,1017.26,5,2.0,2023-03-08,39,Online Banking,0
20,41,M,Single,Low,2775.85,9,1.0,2023-08-15,16,Website,0
21,64,M,Divorced,High,913.02,5,0.0,2023-06-16,18,Website,0
22,42,F,Divorced,Low,1582.73,6,2.0,2023-05-06,42,Mobile App,0
23,35,F,Divorced,Low,1490.74,4,2.0,2023-07-07,19,Mobile App,0
24,55,M,Widowed,Medium,1143.22,5,1.0,2023-10-04,12,Mobile App,0
25,43,F,Married,Low,764.77,3,1.0,2023-02-15,27,Mobile App,0
26,31,M,Single,Medium,571.76,3,1.0,2023-09-29,45,Mobile App,1
27,26,M,Widowed,Medium,2210.6,8,1.0,2023-10-01,22,Mobile App,0
28,27,F,Widowed,High,1702.26,6,2.0,2023-10-26,42,Online Banking,0
29,38,F,Divorced,Medium,853.0699999999999,3,2.0,2023-09-02,34,Website,0
30,69,M,Divorced,High,706.66,2,2.0,2023-07-12,38,Website,0
31,34,M,Divorced,Low,1108.56,5,2.0,2023-08-17,23,Online Banking,0
32,69,F,Married,High,1225.52,5,0.0,2023-01-06,48,Mobile App,0
33,23,M,Divorced,High,689.0,2,1.0,2023-05-19,24,Mobile App,1
34,33,M,Widowed,High,1886.4,9,2.0,2023-04-03,44,Online Banking,0
35,65,M,Married,Low,779.8399999999999,3,1.0,2023-05-23,19,Mobile App,0
36,18,F,Widowed,Low,1321.5500000000002,6,1.0,2023-02-11,6,Online Banking,0
37,36,F,Married,Medium,3166.88,9,1.0,2023-08-28,3,Online Banking,0
38,53,F,Married,Low,874.86,3,1.0,2023-11-27,47,Online Banking,0
39,42,M,Married,Medium,1191.94,5,0.0,2023-01-20,26,Online Banking,0
40,67,F,Widowed,Low,1578.3500000000001,7,1.0,2023-10-14,20,Website,0
41,69,F,Married,High,363.22,2,1.0,2023-07-04,38,Mobile App,1
42,47,M,Widowed,Medium,530.61,3,0.0,2023-07-17,10,Mobile App,0
43,37,M,Single,Low,2213.63,7,2.0,2023-05-25,25,Mobile App,0
44,37,F,Widowed,Low,687.8199999999999,3,1.0,2023-11-13,35,Mobile App,0
45,32,F,Widowed,Low,300.42,1,1.0,2023-09-02,49,Online Banking,0
46,57,F,Married,High,134.67,1,0.0,2023-07-31,24,Online Banking,1
47,50,F,Married,Medium,1466.37,7,0.0,2023-04-19,21,Website,0
48,19,M,Divorced,Medium,1597.29,7,0.0,2023-06-12,34,Website,0
49,27,F,Single,Medium,641.48,3,0.0,2023-02-19,18,Online Banking,0
50,50,F,Single,Low,1514.62,4,2.0,2023-07-15,19,Online Banking,0
51,49,M,Divorced,Medium,549.86,3,0.0,2023-10-31,3,Mobile App,1
52,28,M,Widowed,Medium,401.25,1,0.0,2023-02-16,6,Mobile App,0
53,41,F,Widowed,Low,1255.34,7,0.0,2023-10-02,20,Mobile App,0
54,53,F,Married,Low,461.21000000000004,2,2.0,2023-01-20,22,Online Banking,0
55,29,F,Single,Low,1129.35,5,0.0,2023-08-18,33,Website,0
56,68,F,Married,Low,1443.46,5,0.0,2023-08-20,14,Mobile App,0
57,46,F,Divorced,High,597.75,3,1.0,2023-07-20,44,Online Banking,0
58,52,M,Single,High,2215.82,6,2.0,2023-04-17,9,Online Banking,0
59,18,M,Married,Medium,292.51,3,0.0,2023-12-11,45,Online Banking,0
60,18,F,Single,High,781.09,4,2.0,2023-03-02,25,Mobile App,0
61,54,M,Single,Low,678.97,3,1.0,2023-12-27,47,Website,1
62,23,F,Married,High,840.0,4,2.0,2023-08-27,16,Mobile App,0
63,56,M,Married,Low,2205.11,9,0.0,2023-05-26,7,Mobile App,0
64,58,F,Single,High,965.21,3,0.0,2023-06-03,11,Online Banking,0
65,35,F,Divorced,Low,1359.8899999999999,5,0.0,2023-09-25,27,Mobile App,0
66,33,M,Widowed,Medium,1409.11,8,0.0,2023-08-17,40,Online Banking,0
67,22,F,Single,Medium,701.76,4,2.0,2023-07-23,17,Online Banking,0
68,59,F,Divorced,High,886.4799999999999,4,2.0,2023-07-25,5,Website,1
69,60,F,Single,Low,1038.53,4,1.0,2023-11-13,29,Mobile App,0
70,49,F,Married,Medium,2453.98,7,0.0,2023-03-15,10,Mobile App,0
71,19,F,Divorced,Low,474.59000000000003,3,2.0,2023-08-17,47,Online Banking,1
72,19,F,Divorced,High,1080.4,6,2.0,2023-04-25,25,Online Banking,1
73,57,M,Single,Low,2254.22,9,1.0,2023-10-27,24,Online Banking,1
74,59,M,Widowed,Low,2083.79,8,1.0,2023-02-19,44,Mobile App,0
75,53,F,Single,High,769.97,4,1.0,2023-06-17,12,Mobile App,1
76,56,F,Widowed,Medium,883.92,4,2.0,2023-05-09,5,Website,1
77,29,M,Divorced,High,1797.06,8,0.0,2023-10-15,29,Online Banking,0
78,64,M,Widowed,Low,816.89,3,1.0,2023-10-07,35,Mobile App,0
79,36,M,Married,High,931.3199999999999,3,1.0,2023-04-20,23,Online Banking,1
80,45,M,Widowed,High,110.82,1,0.0,2023-06-09,32,Mobile App,0
81,18,F,Widowed,Low,2181.77,8,0.0,2023-12-03,40,Website,1
82,32,F,Divorced,High,232.38,1,0.0,2023-05-08,19,Mobile App,0
83,53,M,Widowed,Medium,1419.9199999999998,6,2.0,2023-12-31,25,Mobile App,0
84,30,M,Divorced,Medium,1545.91,5,0.0,2023-11-30,45,Online Banking,0
85,60,M,Married,High,1690.08,9,0.0,2023-08-08,37,Mobile App,0
86,38,M,Married,Low,1674.6599999999999,7,0.0,2023-10-18,1,Website,0
87,29,F,Single,High,1411.84,5,2.0,2023-11-22,43,Website,0
88,22,M,Single,High,447.34000000000003,2,0.0,2023-02-08,13,Online Banking,0
89,24,M,Single,Medium,1951.99,7,0.0,2023-09-06,12,Mobile App,0
90,22,M,Married,Medium,1229.96,6,1.0,2023-05-30,47,Online Banking,0
91,65,F,Widowed,Low,1804.74,9,2.0,2023-02-03,43,Mobile App,0
92,21,F,Divorced,Low,2265.28,8,2.0,2023-07-01,37,Mobile App,0
93,30,F,Married,Low,848.07,5,2.0,2023-10-16,42,Mobile App,0
94,54,M,Widowed,High,1113.6100000000001,3,0.0,2023-06-27,41,Website,0
95,58,F,Single,High,677.27,3,1.0,2023-06-20,12,Online Banking,0
96,32,F,Divorced,High,161.84,1,2.0,2023-02-27,36,Mobile App,0
97,33,M,Single,High,553.65,2,2.0,2023-12-20,38,Website,0
98,38,F,Divorced,Low,893.76,5,1.0,2023-05-23,9,Mobile App,0
99,53,M,Widowed,Low,889.75,5,0.0,2023-02-10,14,Online Banking,0
100,41,F,Married,Low,1108.56,4,2.0,2023-06-02,45,Online Banking,1
101,33,F,Single,High,492.35,1,2.0,2023-01-15,35,Online Banking,0
102,31,M,Married,High,2029.96,6,2.0,2023-01-14,32,Online Banking,0
103,39,M,Widowed,Low,2297.73,9,2.0,2023-04-27,46,Mobile App,0
104,66,F,Widowed,Medium,2666.84,9,2.0,2023-03-23,3,Online Banking,1
105,67,F,Widowed,Low,1863.6,8,2.0,2023-12-24,30,Website,0
106,23,M,Married,High,875.08,3,2.0,2023-07-20,49,Mobile App,0
107,59,F,Married,High,1542.76,6,0.0,2023-01-27,7,Online Banking,1
108,53,M,Divorced,Low,494.30999999999995,2,2.0,2023-03-24,1,Mobile App,1
